# نصّ المصحف المرجعي لفحص الأصالة (tools/check_decodable.py)
# المستعمل في المنهج: الفاتحة والإخلاص والفلق والناس + مواضع الحروف المقطَّعة.
# لا يقرأه التطبيق أبداً — مرجع الفاحص وحده، والمصدر في app/js/curriculum.js.
# الصيغة: سورة:آية|النصّ كما هو في تنزيل حرفياً (البسملة مضمومة إلى الآية الأولى كما في المصدر).
#


# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Tanzil Quran Text (Uthmani, Version 1.1)
#  Copyright (C) 2007-2026 Tanzil Project
#  License: Creative Commons Attribution 3.0
#
#  This copy of the Quran text is carefully produced, highly 
#  verified and continuously monitored by a group of specialists 
#  at Tanzil Project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies 
#    of this text, but CHANGING IT IS NOT ALLOWED.
#
#  - This Quran text can be used in any website or application, 
#    provided that its source (Tanzil Project) is clearly indicated, 
#    and a link is made to tanzil.net to enable users to keep
#    track of changes.
#
#  - This copyright notice shall be included in all verbatim copies 
#    of the text, and shall be reproduced appropriately in all files 
#    derived from or containing substantial portion of this text.
#
#  Please check updates at: http://tanzil.net/updates/
#
#====================================================================

1:1|بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ
1:2|ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ
1:3|ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ
1:4|مَـٰلِكِ يَوْمِ ٱلدِّينِ
1:5|إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
1:6|ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ
1:7|صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ
112:1|بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ قُلْ هُوَ ٱللَّهُ أَحَدٌ
112:2|ٱللَّهُ ٱلصَّمَدُ
112:3|لَمْ يَلِدْ وَلَمْ يُولَدْ
112:4|وَلَمْ يَكُن لَّهُۥ كُفُوًا أَحَدٌۢ
113:1|بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ
113:2|مِن شَرِّ مَا خَلَقَ
113:3|وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ
